ロボット名,チーム,番号,操縦者名,連絡先
下剋上・真打,KHK歯車工房,1,操縦者 1号,pilot001@example.com
Luch5,KHK歯車工房,2,操縦者 2号,pilot002@example.com
W,KHK歯車工房,3,操縦者 3号,pilot003@example.com
AtractA;Noah,大同大学ロボット研究部,4,操縦者 4号,pilot004@example.com
Cronus,大同大学ロボット研究部,5,操縦者 5号,pilot005@example.com
Leopard ESP,鮫洲レーシング,6,操縦者 6号,pilot006@example.com
明月,天一同盟,7,操縦者 7号,pilot007@example.com
雷光虫,天一同盟,8,操縦者 8号,pilot008@example.com
鎬 ver.MRX,立命館大学ロボット技術研究会,9,操縦者 9号,pilot009@example.com
爐 Salamander,立命館大学RRST,10,操縦者 10号,pilot010@example.com
鉄線花,立命館大学RRST,11,操縦者 11号,pilot011@example.com
FRONTLINE,立命館大学RRST,12,操縦者 12号,pilot012@example.com
天 AchtSechs,立命館大学RRST,13,操縦者 13号,pilot013@example.com
蜯（ドブガイ）,立命館大学RRST,14,操縦者 14号,pilot014@example.com
流,立命館大学RRST,15,操縦者 15号,pilot015@example.com
白黒の三角獣,芝浦工業大学SRDC,16,操縦者 16号,pilot016@example.com
聖機械の獅子心臓,芝浦工業大学SRDC,17,操縦者 17号,pilot017@example.com
ゴールド・ムンド,芝浦工業大学SRDC,18,操縦者 18号,pilot018@example.com
人魚姫,芝浦工業大学SRDC,19,操縦者 19号,pilot019@example.com
ジェネッス,芝浦工業大学SRDC,20,操縦者 20号,pilot020@example.com
深紅の永久機関,芝浦工業大学SRDC,21,操縦者 21号,pilot021@example.com
みかん,芝浦工業大学SRDC,22,操縦者 22号,pilot022@example.com
/AKANE,東京電機大学自動制御研究部,23,操縦者 23号,pilot023@example.com
疾風弐型,東京電機大学自動制御研究部,24,操縦者 24号,pilot024@example.com
コーカサス,東京電機大学自動制御研究部,25,操縦者 25号,pilot025@example.com
ロデム,東京電機大学自動制御研究部,26,操縦者 26号,pilot026@example.com
影丸,東京電機大学自動制御研究部,27,操縦者 27号,pilot027@example.com
Peroro,東京電機大学自動制御研究部,28,操縦者 28号,pilot028@example.com
ベルグブリュッケン7,秋田県立大学,29,操縦者 29号,pilot029@example.com
ウヌマックスⅦ,秋田県立大学,30,操縦者 30号,pilot030@example.com
しろやぎ19,秋田県立大学,31,操縦者 31号,pilot031@example.com
グラスゴート,秋田県立大学,32,操縦者 32号,pilot032@example.com
黒姫 ARCHDUCHESS,★Mろーず★,33,操縦者 33号,pilot033@example.com
ぷちつよいぷちむさし,★Mろーず★,34,操縦者 34号,pilot034@example.com
悪魔の妹様,音速突撃隊,35,操縦者 35号,pilot035@example.com
鋼片琴 暴走中,神奈川工科大学ロボット工学研究部,36,操縦者 36号,pilot036@example.com
やまだーん00,魁！やまだーん塾,37,操縦者 37号,pilot037@example.com
ダイナミックロボ,川崎市立川崎総合科学高等学校,38,操縦者 38号,pilot038@example.com
最愛のアテナ,中央大学,39,操縦者 39号,pilot039@example.com
クラブ・エルタ,中央大学,40,操縦者 40号,pilot040@example.com
サンテック1号,サンテック株式会社,41,操縦者 41号,pilot041@example.com
CLYPEUS,ADVENA,42,操縦者 42号,pilot042@example.com
aNo ロボ,aNo研,43,操縦者 43号,pilot043@example.com
Destiny 3号機,個人参加,44,操縦者 44号,pilot044@example.com
ZI-OLF&s,個人参加,45,操縦者 45号,pilot045@example.com
Stryker,個人参加,46,操縦者 46号,pilot046@example.com
セドナ,個人参加,47,操縦者 47号,pilot047@example.com
シャイン4号,個人参加,48,操縦者 48号,pilot048@example.com
神伝頭チーム,神伝頭,49,操縦者 49号,pilot049@example.com
ま・だ・出・来・て・な・い・の,個人参加,50,操縦者 50号,pilot050@example.com
グロピュール,個人参加,51,操縦者 51号,pilot051@example.com
燐Vanadius,個人参加,52,操縦者 52号,pilot052@example.com
稲妻ロボ,個人参加,53,操縦者 53号,pilot053@example.com
NEMESISnex.,個人参加,54,操縦者 54号,pilot054@example.com
中野島中E,中野島中学校,55,操縦者 55号,pilot055@example.com
舞姫,個人参加,56,操縦者 56号,pilot056@example.com
お好みスライム,個人参加,57,操縦者 57号,pilot057@example.com
